NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
C31,Construction,TRUE,C31,2008,AT,0.008205424,ConstructionC25TRUE,C25,0.008205424,0.008205424,0.008205424,0.008205424
F41,Construction,TRUE,F41,2008,AT,0.037994511,ConstructionC25TRUE,C25,0.037994511,0.037994511,0.037994511,0.037994511
F42,Construction,TRUE,F42,2008,AT,0.01991176,ConstructionC25TRUE,C25,0.01991176,0.01991176,0.01991176,0.01991176
F43,Construction,TRUE,F43,2008,AT,0.08245252,ConstructionC25TRUE,C25,0.08245252,0.08245252,0.08245252,0.08245252
M71,Construction,TRUE,M71,2008,AT,0.005370465,ConstructionC25TRUE,C25,0.005370465,0.005370465,0.005370465,0.005370465
N81,Construction,TRUE,N81,2008,AT,0.000563593,ConstructionC25TRUE,C25,0.000563593,0.000563593,0.000563593,0.000563593
C31,Construction,TRUE,C31,2009,AT,0.008131105,ConstructionC25TRUE,C25,0.008131105,0.008131105,0.008131105,0.008131105
F41,Construction,TRUE,F41,2009,AT,0.037845967,ConstructionC25TRUE,C25,0.037845967,0.037845967,0.037845967,0.037845967
F42,Construction,TRUE,F42,2009,AT,0.019984967,ConstructionC25TRUE,C25,0.019984967,0.019984967,0.019984967,0.019984967
F43,Construction,TRUE,F43,2009,AT,0.082574539,ConstructionC25TRUE,C25,0.082574539,0.082574539,0.082574539,0.082574539
M71,Construction,TRUE,M71,2009,AT,0.005527574,ConstructionC25TRUE,C25,0.005527574,0.005527574,0.005527574,0.005527574
N81,Construction,TRUE,N81,2009,AT,0.000574088,ConstructionC25TRUE,C25,0.000574088,0.000574088,0.000574088,0.000574088
C31,Construction,TRUE,C31,2010,AT,0.009739807,ConstructionC25TRUE,C25,0.009739807,0.009739807,0.009739807,0.009739807
F41,Construction,TRUE,F41,2010,AT,0.045281545,ConstructionC25TRUE,C25,0.045281545,0.045281545,0.045281545,0.045281545
F42,Construction,TRUE,F42,2010,AT,0.021330467,ConstructionC25TRUE,C25,0.021330467,0.021330467,0.021330467,0.021330467
F43,Construction,TRUE,F43,2010,AT,0.085899369,ConstructionC25TRUE,C25,0.085899369,0.085899369,0.085899369,0.085899369
M71,Construction,TRUE,M71,2010,AT,0.005004102,ConstructionC25TRUE,C25,0.005004102,0.005004102,0.005004102,0.005004102
N81,Construction,TRUE,N81,2010,AT,0.000610247,ConstructionC25TRUE,C25,0.000610247,0.000610247,0.000610247,0.000610247
C31,Construction,TRUE,C31,2011,AT,0.008640106,ConstructionC25TRUE,C25,0.008640106,0.008640106,0.008640106,0.008640106
F41,Construction,TRUE,F41,2011,AT,0.038445915,ConstructionC25TRUE,C25,0.038445915,0.038445915,0.038445915,0.038445915
F42,Construction,TRUE,F42,2011,AT,0.019688551,ConstructionC25TRUE,C25,0.019688551,0.019688551,0.019688551,0.019688551
F43,Construction,TRUE,F43,2011,AT,0.080470019,ConstructionC25TRUE,C25,0.080470019,0.080470019,0.080470019,0.080470019
M71,Construction,TRUE,M71,2011,AT,0.004402926,ConstructionC25TRUE,C25,0.004402926,0.004402926,0.004402926,0.004402926
N81,Construction,TRUE,N81,2011,AT,0.000526575,ConstructionC25TRUE,C25,0.000526575,0.000526575,0.000526575,0.000526575
C31,Construction,TRUE,C31,2012,AT,0.00843526,ConstructionC25TRUE,C25,0.00843526,0.00843526,0.00843526,0.00843526
F41,Construction,TRUE,F41,2012,AT,0.036857606,ConstructionC25TRUE,C25,0.036857606,0.036857606,0.036857606,0.036857606
F42,Construction,TRUE,F42,2012,AT,0.019961159,ConstructionC25TRUE,C25,0.019961159,0.019961159,0.019961159,0.019961159
F43,Construction,TRUE,F43,2012,AT,0.083350766,ConstructionC25TRUE,C25,0.083350766,0.083350766,0.083350766,0.083350766
M71,Construction,TRUE,M71,2012,AT,0.005557505,ConstructionC25TRUE,C25,0.005557505,0.005557505,0.005557505,0.005557505
N81,Construction,TRUE,N81,2012,AT,0.000546555,ConstructionC25TRUE,C25,0.000546555,0.000546555,0.000546555,0.000546555
C31,Construction,TRUE,C31,2013,AT,0.008021173,ConstructionC25TRUE,C25,0.008021173,0.008021173,0.008021173,0.008021173
F41,Construction,TRUE,F41,2013,AT,0.035827137,ConstructionC25TRUE,C25,0.035827137,0.035827137,0.035827137,0.035827137
F42,Construction,TRUE,F42,2013,AT,0.021238614,ConstructionC25TRUE,C25,0.021238614,0.021238614,0.021238614,0.021238614
F43,Construction,TRUE,F43,2013,AT,0.085307464,ConstructionC25TRUE,C25,0.085307464,0.085307464,0.085307464,0.085307464
